"gene","x","y","shape.x","module.x","label","is_hit","hit_dir","best_lfc","best_fdr","nlp","fill_col","border_col","node_r","label_size","label_face","label_col","has_sh2","module.y","shape.y","location","module","shape"
"WAS",1.1,4.5,"adaptor","TCR/Proximal","WASp",TRUE,"depleted",-0.3198,1e-04,4.2236,"#08519C","#08306B",0.4319,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"CDK6",9.8,3.2,"kinase","PI3K/AKT","CDK6",TRUE,"depleted",-1.0857,1e-04,5.1724,"#08519C","#08306B",0.4683,2.1,"bold","#111111",FALSE,"PI3K/AKT","kinase","pathway",NA,NA
"PRMT5",22.6,2.5,"adaptor","Mito/Metabolic","PRMT5",TRUE,"depleted",-0.3675,1e-04,4.4512,"#08519C","#08306B",0.4406,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"KMT2D",24.2,2.5,"adaptor","Mito/Metabolic","KMT2D",TRUE,"depleted",-0.2675,3e-04,5.133,"#08519C","#08306B",0.4668,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"CD28",2.5,9.5,"receptor","TCR/Proximal","CD28",TRUE,"depleted",-0.451,6e-04,5.0433,"#08519C","#08306B",0.4633,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"ZAP70",1.2,7.3,"kinase","TCR/Proximal","ZAP70",TRUE,"depleted",-0.2462,8e-04,4.4875,"#08519C","#08306B",0.442,2.1,"bold","#111111",TRUE,"TCR/Proximal","kinase","pathway",NA,NA
"RPTOR",22.6,5,"complex","Mito/Metabolic","RPTOR",TRUE,"depleted",-0.447,0.0011,3.1003,"#08519C","#08306B",0.3888,2.1,"bold","#111111",FALSE,"Mito/Metabolic","complex","pathway",NA,NA
"JUNB",13.7,0.9,"tf","NF-<U+03BA>B","JUNB",TRUE,"depleted",-0.5367,0.0011,3.3587,"#08519C","#08306B",0.3987,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","tf","pathway",NA,NA
"GCLC",24.2,5,"adaptor","Mito/Metabolic","GCLC",TRUE,"depleted",-0.3158,0.0017,3.7071,"#08519C","#08306B",0.4121,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"SDHB",24.2,6.2,"complex","Mito/Metabolic","SDHB",TRUE,"depleted",-0.4049,0.002,2.7881,"#08519C","#08306B",0.3769,2.1,"bold","#111111",FALSE,"Mito/Metabolic","complex","pathway",NA,NA
"YBX1",13.7,1.7,"tf","NF-<U+03BA>B","YBX1",TRUE,"depleted",-0.2282,0.0052,2.7572,"#08519C","#08306B",0.3757,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","tf","pathway",NA,NA
"PIK3CD",7.5,6.5,"kinase","PI3K/AKT","PI3Kd",TRUE,"depleted",-0.3243,0.0055,2.582,"#08519C","#08306B",0.369,2.1,"bold","#111111",FALSE,"PI3K/AKT","kinase","pathway",NA,NA
"CCND3",9.2,3.2,"adaptor","PI3K/AKT","CycD3",TRUE,"depleted",-0.4511,0.0057,2.3988,"#08519C","#08306B",0.362,2.1,"bold","#111111",FALSE,"PI3K/AKT","adaptor","pathway",NA,NA
"PDPK1",7.5,5.7,"kinase","PI3K/AKT","PDK1",TRUE,"depleted",-0.3422,0.0063,2.3629,"#08519C","#08306B",0.3606,2.1,"bold","#111111",FALSE,"PI3K/AKT","kinase","pathway",NA,NA
"BCL10",12.1,4.9,"adaptor","NF-<U+03BA>B","BCL10",TRUE,"depleted",-0.3835,0.0071,2.9971,"#08519C","#08306B",0.3849,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"JAK3",14.5,8.3,"kinase","JAK-STAT","JAK3",TRUE,"depleted",-0.4731,0.0125,2.0993,"#08519C","#08306B",0.3505,2.1,"bold","#111111",FALSE,"JAK-STAT","kinase","pathway",NA,NA
"JAK2",17,8.3,"kinase","JAK-STAT","JAK2",TRUE,"depleted",-0.2067,0.0129,1.8896,"#238B45","#005824",0.3424,2.1,"bold","#111111",FALSE,"JAK-STAT","kinase","pathway",NA,NA
"STAT5A",14.5,7.3,"tf","JAK-STAT","STAT5A",TRUE,"depleted",-0.28,0.0129,1.8896,"#238B45","#005824",0.3424,2.1,"bold","#111111",TRUE,"JAK-STAT","tf","pathway",NA,NA
"MALT1",12.8,4.9,"adaptor","NF-<U+03BA>B","MALT1",TRUE,"depleted",-0.3436,0.0187,1.7275,"#238B45","#005824",0.3362,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"IL2RG",15.2,9.5,"receptor","JAK-STAT","<U+03B3>c",FALSE,"depleted",-0.2986,0.0281,1.5506,"#238B45","#005824",0.3294,2.1,"bold","#111111",FALSE,"JAK-STAT","receptor","pathway",NA,NA
"MTOR",7.5,4,"complex","PI3K/AKT","mTOR",TRUE,"depleted",-0.2606,0.0309,1.5098,"#238B45","#005824",0.3279,2.1,"bold","#111111",FALSE,"PI3K/AKT","complex","pathway",NA,NA
"BATF",20.1,1.7,"tf","Epi/Apoptosis","BATF",TRUE,"depleted",-0.2522,0.0387,1.4128,"#238B45","#005824",0.3242,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","tf","pathway",NA,NA
"ITK",0.4,6.5,"kinase","TCR/Proximal","ITK",TRUE,"depleted",-0.3282,0.0455,1.3418,"#238B45","#005824",0.3214,2.1,"bold","#111111",TRUE,"TCR/Proximal","kinase","pathway",NA,NA
"CD5",2.3,9.1,"receptor","TCR/Proximal","CD5",TRUE,"enriched",0.4747,4e-04,3.9286,"#CB181D","#67000D",0.4206,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"CD8A",3.2,9.7,"receptor","TCR/Proximal","CD8A",TRUE,"enriched",0.6013,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"TCR/Proximal","receptor","pathway",NA,NA
"CBLB",2.2,7.5,"adaptor","TCR/Proximal","CBLB",TRUE,"enriched",0.8946,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"UBASH3A",0.2,7,"adaptor","TCR/Proximal","UBASH3A",TRUE,"enriched",0.4431,4e-04,4.6843,"#CB181D","#67000D",0.4496,2.1,"bold","#111111",FALSE,"TCR/Proximal","adaptor","pathway",NA,NA
"RASA2",5.2,5,"adaptor","MAPK/NFAT","RASA2",TRUE,"enriched",0.4522,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"MAPK/NFAT","adaptor","pathway",NA,NA
"DGKZ",8.8,6.5,"kinase","PI3K/AKT","DGK<U+03B6>",TRUE,"enriched",0.4947,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"PI3K/AKT","kinase","pathway",NA,NA
"CDKN1B",9.8,0.9,"tf","PI3K/AKT","p27",TRUE,"enriched",0.7531,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"PI3K/AKT","tf","pathway",NA,NA
"TNFAIP3",13.5,4.9,"adaptor","NF-<U+03BA>B","A20",TRUE,"enriched",0.4542,4e-04,3.7321,"#CB181D","#67000D",0.4131,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"TCEB2",13.5,4,"adaptor","NF-<U+03BA>B","Elongin-B",TRUE,"enriched",0.7845,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"SOCS1",14,6.3,"adaptor","JAK-STAT","SOCS1",TRUE,"enriched",0.5091,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",TRUE,"JAK-STAT","adaptor","pathway",NA,NA
"MEF2D",17.8,0.9,"tf","Epi/Apoptosis","MEF2D",TRUE,"enriched",0.4762,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","tf","pathway",NA,NA
"TMEM222",21.5,2.5,"adaptor","Epi/Apoptosis","TMEM222",TRUE,"enriched",0.8653,4e-04,5.4316,"#CB181D","#67000D",0.4782,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","adaptor","pathway",NA,NA
"DGKA",9.5,6.5,"kinase","PI3K/AKT","DGKa",TRUE,"enriched",0.5608,0.0067,2.2815,"#CB181D","#67000D",0.3575,2.1,"bold","#111111",FALSE,"PI3K/AKT","kinase","pathway",NA,NA
"SMARCB1",20.9,2.5,"adaptor","Epi/Apoptosis","SMARCB1",TRUE,"enriched",0.4374,0.0067,2.4068,"#CB181D","#67000D",0.3623,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","adaptor","pathway",NA,NA
"FIBP",25,0.9,"adaptor","Mito/Metabolic","FIBP",TRUE,"enriched",0.465,0.0069,2.1592,"#FB6A4A","#CB181D",0.3528,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"IRF2BP2",16.2,0.9,"tf","JAK-STAT","IRF2BP2",TRUE,"enriched",0.4902,0.0084,2.0781,"#FB6A4A","#CB181D",0.3497,2.1,"bold","#111111",FALSE,"JAK-STAT","tf","pathway",NA,NA
"ARIH2",13.5,3.2,"adaptor","NF-<U+03BA>B","ARIH2",TRUE,"enriched",0.361,0.0104,2.7573,"#CB181D","#67000D",0.3757,2.1,"bold","#111111",FALSE,"NF-<U+03BA>B","adaptor","pathway",NA,NA
"DUSP4",5.2,2.5,"adaptor","MAPK/NFAT","DUSP4",TRUE,"enriched",0.4714,0.0124,1.9074,"#FB6A4A","#CB181D",0.3431,2.1,"bold","#111111",FALSE,"MAPK/NFAT","adaptor","pathway",NA,NA
"ARID1A",20.2,2.5,"adaptor","Epi/Apoptosis","ARID1A",TRUE,"enriched",0.3649,0.0124,1.9074,"#FB6A4A","#CB181D",0.3431,2.1,"bold","#111111",FALSE,"Epi/Apoptosis","adaptor","pathway",NA,NA
"PCBP2",24.2,1.7,"adaptor","Mito/Metabolic","PCBP2",TRUE,"enriched",0.373,0.0176,1.9312,"#CB181D","#67000D",0.344,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"GNA13",22.6,0.9,"adaptor","Mito/Metabolic","GNA13",TRUE,"enriched",0.2798,0.0177,1.7525,"#FB6A4A","#CB181D",0.3372,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"RPRD1B",25,1.7,"adaptor","Mito/Metabolic","RPRD1B",TRUE,"enriched",0.4149,0.0371,1.9661,"#CB181D","#67000D",0.3454,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"AGO1",22.6,1.7,"adaptor","Mito/Metabolic","AGO1",TRUE,"enriched",0.3464,0.0386,1.4137,"#FB6A4A","#CB181D",0.3242,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"BIRC6",23.4,1.7,"adaptor","Mito/Metabolic","BIRC6",TRUE,"enriched",0.3343,0.0541,1.2669,"#FB6A4A","#CB181D",0.3186,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"C2orf68",25,3.6,"adaptor","Mito/Metabolic","C2orf68",TRUE,"enriched",0.3784,0.0678,1.169,"#FB6A4A","#CB181D",0.3148,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"NDUFB10",23.4,6.9,"adaptor","Mito/Metabolic","NDUFB10",TRUE,"enriched",0.3198,0.0754,1.1226,"#FB6A4A","#CB181D",0.313,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"GLRX",24.2,0.9,"adaptor","Mito/Metabolic","GLRX",TRUE,"enriched",0.2129,0.0982,1.0077,"#FB6A4A","#CB181D",0.3086,2.1,"bold","#111111",FALSE,"Mito/Metabolic","adaptor","pathway",NA,NA
"DAD1",NA,NA,NA,NA,NA,NA,"depleted",-1.3428,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Apoptosis",NA
"NOP14",NA,NA,NA,NA,NA,NA,"depleted",-0.8322,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"NOP56",NA,NA,NA,NA,NA,NA,"depleted",-0.6798,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"NOP2",NA,NA,NA,NA,NA,NA,"depleted",-0.6112,0,4.7988,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"DHX37",NA,NA,NA,NA,NA,NA,"depleted",-0.607,0,5.3883,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"DHX33",NA,NA,NA,NA,NA,NA,"depleted",-0.5379,0,5.7829,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"DDX54",NA,NA,NA,NA,NA,NA,"depleted",-0.451,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"NOP16",NA,NA,NA,NA,NA,NA,"depleted",-0.4371,0,6.1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","RNA processing",NA
"RPL28",NA,NA,NA,NA,NA,NA,"depleted",-0.6206,0,4.4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RPL38",NA,NA,NA,NA,NA,NA,"depleted",-0.5425,0,5.2659,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RPL5",NA,NA,NA,NA,NA,NA,"depleted",-0.535,0,6.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"RPL6",NA,NA,NA,NA,NA,NA,"depleted",-0.5207,0,5.3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"FAU",NA,NA,NA,NA,NA,NA,"depleted",-0.4287,0,6.5868,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Ribosome",NA
"MARS",NA,NA,NA,NA,NA,NA,"depleted",-1.0735,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"VARS",NA,NA,NA,NA,NA,NA,"depleted",-1.05,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EXOSC6",NA,NA,NA,NA,NA,NA,"depleted",-1.0413,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"RPP21",NA,NA,NA,NA,NA,NA,"depleted",-1.0315,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"QARS",NA,NA,NA,NA,NA,NA,"depleted",-0.9337,0,5.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"HSPA8",NA,NA,NA,NA,NA,NA,"depleted",-0.9204,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"IARS",NA,NA,NA,NA,NA,NA,"depleted",-0.8537,0,6.0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ORAOV1",NA,NA,NA,NA,NA,NA,"depleted",-0.7887,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ARMC7",NA,NA,NA,NA,NA,NA,"depleted",-0.7801,0,6.3443,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GRPEL1",NA,NA,NA,NA,NA,NA,"depleted",-0.755,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TEX10",NA,NA,NA,NA,NA,NA,"depleted",-0.7018,0,6.4051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ZBTB8OS",NA,NA,NA,NA,NA,NA,"depleted",-0.6905,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NAA10",NA,NA,NA,NA,NA,NA,"depleted",-0.6753,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SLC35B1",NA,NA,NA,NA,NA,NA,"depleted",-0.6702,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ALDOA",NA,NA,NA,NA,NA,NA,"depleted",-0.65,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TSR2",NA,NA,NA,NA,NA,NA,"depleted",-0.6412,0,6.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CCNH",NA,NA,NA,NA,NA,NA,"depleted",-0.6359,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"NOL10",NA,NA,NA,NA,NA,NA,"depleted",-0.6312,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PMPCA",NA,NA,NA,NA,NA,NA,"depleted",-0.6279,0,6.3443,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CCT7",NA,NA,NA,NA,NA,NA,"depleted",-0.6268,0,6.4051,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GMPPB",NA,NA,NA,NA,NA,NA,"depleted",-0.6189,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TP53RK",NA,NA,NA,NA,NA,NA,"depleted",-0.6058,0,4.8158,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EMG1",NA,NA,NA,NA,NA,NA,"depleted",-0.5946,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"STT3B",NA,NA,NA,NA,NA,NA,"depleted",-0.5878,0,4.7777,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"POP7",NA,NA,NA,NA,NA,NA,"depleted",-0.5864,0,5.9484,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PSENEN",NA,NA,NA,NA,NA,NA,"depleted",-0.5803,0,4.8992,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GFER",NA,NA,NA,NA,NA,NA,"depleted",-0.5682,0,5.0302,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"UTP3",NA,NA,NA,NA,NA,NA,"depleted",-0.5571,0,6.5868,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"IMP3",NA,NA,NA,NA,NA,NA,"depleted",-0.5553,0,5.8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"LUC7L3",NA,NA,NA,NA,NA,NA,"depleted",-0.5217,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"BPTF",NA,NA,NA,NA,NA,NA,"depleted",-0.5196,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"UTP6",NA,NA,NA,NA,NA,NA,"depleted",-0.5055,0,5.8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EID2",NA,NA,NA,NA,NA,NA,"depleted",-0.5034,0,5.8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"GPN1",NA,NA,NA,NA,NA,NA,"depleted",-0.5006,0,5.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"TMX1",NA,NA,NA,NA,NA,NA,"depleted",-0.4968,0,6.0957,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"BMS1",NA,NA,NA,NA,NA,NA,"depleted",-0.4967,0,6.1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"EXOSC8",NA,NA,NA,NA,NA,NA,"depleted",-0.4963,0,7.2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"PSMG3",NA,NA,NA,NA,NA,NA,"depleted",-0.4953,0,4.3353,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"CD3EAP",NA,NA,NA,NA,NA,NA,"depleted",-0.495,0,5.2659,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SEC61B",NA,NA,NA,NA,NA,NA,"depleted",-0.4931,0,5.5922,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"SPATA5L1",NA,NA,NA,NA,NA,NA,"depleted",-0.4786,0,4.5596,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
"ERCC2",NA,NA,NA,NA,NA,NA,"depleted",-0.4765,0,5.3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strip","Signalling",NA
